Kabupaten_Kota,Latitude,Longitude
Bandung,-7.063539981499957,107.63383062678612
Bandung Barat,-6.905446767499939,107.41237051072673
Banjar,-7.380523204499951,108.56097184103126
Bekasi,-6.197890042999944,107.15981439253784
Bogor,-6.54536366499994,107.00214770187023
Ciamis,-7.4375028604999045,108.64515032609955
Cianjur,-7.0538494579999735,107.06919880644844
Cimahi,-6.8823280054999145,107.5444820196307
Cirebon,-6.761355637999941,108.45591021664217
Depok,-6.387874841999945,106.81612793351844
Garut,-7.342897176499946,107.70305201304124
Indramayu,-6.453658580999928,108.18528254327563
Karawang,-6.2634472839999376,107.42939112928742
Kota Bandung,-6.903314589999866,107.6299084249359
Kota Bekasi,-6.284879921999931,106.97348370006631
Kota Bogor,-6.595182418499945,106.79990472762402
Kota Cirebon,-6.743634938999918,108.55616837369138
Kota Sukabumi,-6.935730933999935,106.93145124064779
Kota Tasikmalaya,-7.360017060999951,108.22787105711731
Kuningan,-6.98755645749992,108.55380287309227
Majalengka,-6.807682001999922,108.28358393669721
Purwakarta,-6.592529534499931,107.4036049478647
Subang,-6.500708818999954,107.73432506611107
Sukabumi,-7.078184603999887,106.73772606791492
Sumedang,-6.81016278249993,107.96172776348763
Tasikmalaya,-7.427997112499895,108.06914913038304
Waduk Cirata,-6.755227088499964,107.28570632674345
